OBS_ASOS_DD_20250622210229
OBS_ASOS_DD_20250622210229,,,,,,,,,
지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr)
108,서울,2023-06-01,22.8,19.7,26.3,,1.9,66.9,2.2
108,서울,2023-06-02,20.4,17.9,25,0,2.3,77.4,5.2
108,서울,2023-06-03,22,16.6,27.8,,2.7,60.1,13.3
108,서울,2023-06-04,22.1,16.9,28,,2.4,61,11.1
108,서울,2023-06-05,21.5,17.6,26.3,,2.6,66.9,10.9
108,서울,2023-06-06,20.3,17.3,25.2,0,2.6,72.9,7.9
108,서울,2023-06-07,21.4,18.9,25.7,0,2.1,75.3,1
108,서울,2023-06-08,20.4,18.3,23.9,1.9,2.4,80.5,0.9
108,서울,2023-06-09,23.3,18.3,28.4,1.2,2,64,11.8
108,서울,2023-06-10,23.2,19.6,28.5,0.8,2.3,70,5.6
108,서울,2023-06-11,22.1,17.9,27.3,32.2,2.2,76.1,6.4
108,서울,2023-06-12,22.2,18.4,27.5,0,1.7,70.5,6.7
108,서울,2023-06-13,22,19.2,26,0,2.2,70,9.9
108,서울,2023-06-14,20.6,17.5,25,30.6,1.5,80.3,4.2
108,서울,2023-06-15,22.7,17.7,28.3,,2.1,70.8,8.8
108,서울,2023-06-16,23.7,19.1,28.9,,2.1,64.4,12.5
108,서울,2023-06-17,24.2,18.9,30.2,,2,57.1,10.8
108,서울,2023-06-18,25.9,20.8,32.6,,2,60.5,12.3
108,서울,2023-06-19,28.5,23.3,34,,2.2,57.8,11
108,서울,2023-06-20,24.7,21.4,26.4,6.4,1.9,64.5,0
108,서울,2023-06-21,20.5,19.2,22.1,24.9,2.1,92.6,0
108,서울,2023-06-22,22.5,18.9,26.4,0,2.2,77.1,6.9
108,서울,2023-06-23,24.4,20,29.9,,1.5,76.6,5.3
108,서울,2023-06-24,26.4,21.9,31.1,,2,70.5,9.7
108,서울,2023-06-25,28.2,22.8,33.1,,2.1,64.9,8.7
108,서울,2023-06-26,24.2,22.3,27.5,30.3,2.9,88.6,0
108,서울,2023-06-27,25.3,21.4,29.1,2.5,3.2,73.1,6.8
108,서울,2023-06-28,26.5,24.2,30.1,0,2.5,77.4,3.8
108,서울,2023-06-29,24.2,23.2,25.9,63.8,2.3,95.4,0
108,서울,2023-06-30,25.3,23.2,29.1,1,1.8,89.8,1.4
108,서울,2023-07-01,27.7,23.3,32.9,,2,76.9,12.4
108,서울,2023-07-02,26.7,23.5,30.6,,1.9,79.5,4.3
108,서울,2023-07-03,29.1,24.1,34.9,,1.8,72,8.8
108,서울,2023-07-04,26.1,24.5,29.2,61.8,2.3,86.8,0
108,서울,2023-07-05,24.5,22.1,27.1,15.3,3.7,82.6,4.5
108,서울,2023-07-06,27.3,22.4,31.8,,2.7,70.9,8.8
108,서울,2023-07-07,26.7,23.3,31.4,,2.3,64.9,8.7
108,서울,2023-07-08,25.6,22.4,29.7,,2.2,76.5,1.6
108,서울,2023-07-09,24.7,21.6,27,47.5,2,86.4,1.1
108,서울,2023-07-10,26.3,22.9,30.9,11.5,2.3,80.4,5.9
108,서울,2023-07-11,23.5,21.6,25.9,58.3,1.9,92.4,0
108,서울,2023-07-12,25.8,22,29.1,0.7,1.5,86.4,1.2
108,서울,2023-07-13,25.2,24.7,26.5,91.6,1.6,95,0
108,서울,2023-07-14,24.6,23.9,25.1,72.7,2.9,99.1,0
108,서울,2023-07-15,24.5,23.7,25.7,2.3,3,93.5,0
108,서울,2023-07-16,24.6,23.7,25.4,9.7,2.3,89.5,0
108,서울,2023-07-17,25.5,23.7,27.8,1.4,1.7,86.1,0.4
108,서울,2023-07-18,25.2,24.1,27.7,2.3,1.4,87.9,2
108,서울,2023-07-19,27.2,22.5,32.4,,1.7,78.8,11.5
108,서울,2023-07-20,27.9,24,32.8,,1.8,74,9.9
108,서울,2023-07-21,29.5,24.6,34.3,,1.8,69.6,10.2
108,서울,2023-07-22,27.7,24.6,32.5,12.3,2.6,73.9,6.4
108,서울,2023-07-23,25.2,24.5,25.8,40.2,2.1,94.3,0
108,서울,2023-07-24,26.9,24.6,30,0.4,2,83.1,3.2
108,서울,2023-07-25,27.8,25.8,30.5,5.6,2.7,80.5,3.5
108,서울,2023-07-26,27.6,24.9,31.1,1,2.2,80.9,3
108,서울,2023-07-27,28.4,24.4,32.2,0,1.9,78.1,6.8
108,서울,2023-07-28,29.5,25.4,34.1,,2.1,72.4,9.5
108,서울,2023-07-29,29.1,26.1,33.3,,2,72.1,6.8
108,서울,2023-07-30,28.8,24.9,34.9,25,1.9,72.5,9.1
108,서울,2023-07-31,28.7,25.6,33.4,0.3,1.7,76.3,6.5
108,서울,2023-08-01,29.9,25.5,34.2,,1.9,71.6,10.3
108,서울,2023-08-02,29.7,26.8,33.7,,2.1,67.8,11.2
108,서울,2023-08-03,29.5,25.8,33.8,,2.1,67,11
108,서울,2023-08-04,30,26.5,34.4,,1.9,67.6,9.6
108,서울,2023-08-05,30.3,26.4,34.9,,2,69,12.7
108,서울,2023-08-06,29.8,27,33,4.9,1.7,76.5,3.8
108,서울,2023-08-07,30.4,27.3,34.6,,2.7,68.4,5.8
108,서울,2023-08-08,30.9,26.4,35.8,,2.9,60.5,11
108,서울,2023-08-09,28.3,25.1,31.6,0.2,3.2,67.6,3.3
108,서울,2023-08-10,22.2,20.9,25.1,86.1,3.7,91.9,0
108,서울,2023-08-11,23.5,21.6,24.9,46.7,2.3,93.1,0
108,서울,2023-08-12,23.3,22.5,24.1,1.5,1.9,91,0.1
108,서울,2023-08-13,27,22.6,31.1,,1.7,76.9,2.7
108,서울,2023-08-14,28.1,24.8,31.9,,1.6,75.4,3.9
108,서울,2023-08-15,28.6,24.7,32.7,,2.3,71.4,7.7
108,서울,2023-08-16,27.3,24.7,31.6,0.3,2.1,72,3.7
108,서울,2023-08-17,28.2,24.5,32.4,,1.7,73,6.2
